Site,Accuracy,Number of Subjects
CALTECH,0.25,4
KKI,0.6428571428571429,14
LEUVEN_1,0.6666666666666666,3
LEUVEN_2,0.6666666666666666,6
MAX_MUN,0.6428571428571429,14
NYU,0.6428571428571429,42
OLIN,0.625,8
PITT,0.8888888888888888,9
SBL,0.5,2
SDSU,0.8,5
STANFORD,0.75,8
TRINITY,0.4166666666666667,12
UCLA_1,0.5,12
UCLA_2,0.6666666666666666,3
UM_1,0.75,20
UM_2,0.5,2
USM,0.7727272727272727,22
YALE,0.5833333333333334,12
Overall,0.6515151515151515,198
