Site,Accuracy,Number of Subjects
CALTECH,0.0,1
LEUVEN_1,1.0,1
LEUVEN_2,0.0,1
MAX_MUN,0.6666666666666666,3
NYU,0.8333333333333334,6
OLIN,0.0,1
PITT,1.0,1
SDSU,1.0,1
STANFORD,1.0,1
TRINITY,0.5,6
UCLA_1,0.3333333333333333,3
UM_1,0.625,8
USM,1.0,6
YALE,1.0,1
Overall,0.675,40
