Site,Accuracy,Number of Subjects
CALTECH,0.25,4
KKI,0.5714285714285714,14
LEUVEN_1,0.6666666666666666,3
LEUVEN_2,0.8333333333333334,6
MAX_MUN,0.5714285714285714,14
NYU,0.6190476190476191,42
OLIN,0.625,8
PITT,0.5555555555555556,9
SBL,0.0,2
SDSU,0.6,5
STANFORD,0.875,8
TRINITY,0.6666666666666666,12
UCLA_1,0.5,12
UCLA_2,0.6666666666666666,3
UM_1,0.8,20
UM_2,0.5,2
USM,0.6363636363636364,22
YALE,0.5833333333333334,12
Overall,0.6262626262626263,198
